Mfr Name,Division,Carline,Average City CO2,Average City Fuel Efficiency
Honda,Honda,CIVIC 5Dr,327,28
Honda,Honda,CIVIC 5Dr Sport,296,30
Honda,Honda,CR-V AWD,344,26
Honda,Honda,CR-V FWD,330,27
Honda,Honda,FIT,285,31
Honda,Honda,HR-V AWD,336,27
Honda,Honda,HR-V FWD,326,27
Honda,Honda,ODYSSEY FWD,468,19
Honda,Honda,PILOT AWD,475,19
Honda,Honda,PILOT FWD,453,20
Honda,Honda,RIDGELINE AWD,480,18
Honda,Honda,RIDGELINE FWD,471,19
Hyundai,GENESIS,G80 AWD,542,16
Hyundai,GENESIS,G80 RWD,544,17
Hyundai,GENESIS,G90 AWD,547,16
Hyundai,GENESIS,G90 RWD,544,17
Hyundai,HYUNDAI MOTOR COMPANY,Accent,328,27
Hyundai,HYUNDAI MOTOR COMPANY,Azera,454,20
Hyundai,HYUNDAI MOTOR COMPANY,Azera Limited,473,19
Hyundai,HYUNDAI MOTOR COMPANY,Elantra,337,27
Hyundai,HYUNDAI MOTOR COMPANY,Elantra GT,374,24
Hyundai,HYUNDAI MOTOR COMPANY,Elantra SE,305,29
Hyundai,HYUNDAI MOTOR COMPANY,Ioniq,163,55
Hyundai,HYUNDAI MOTOR COMPANY,Ioniq Blue,157,57
Hyundai,HYUNDAI MOTOR COMPANY,Santa Fe AWD,489,18
Hyundai,HYUNDAI MOTOR COMPANY,Santa Fe FWD,489,18
Hyundai,HYUNDAI MOTOR COMPANY,Santa Fe Sport AWD,459,20
Hyundai,HYUNDAI MOTOR COMPANY,Santa Fe Sport FWD,432,21
Hyundai,HYUNDAI MOTOR COMPANY,Santa Fe Sport ULTIMATE AWD,475,19
Hyundai,HYUNDAI MOTOR COMPANY,Santa Fe Sport ULTIMATE FWD,446,20
Hyundai,HYUNDAI MOTOR COMPANY,Santa Fe Ultimate AWD,529,17
Hyundai,HYUNDAI MOTOR COMPANY,Santa Fe Ultimate FWD,517,17
Hyundai,HYUNDAI MOTOR COMPANY,Sonata,358,25
Hyundai,HYUNDAI MOTOR COMPANY,Sonata HYBRID,233,38
Hyundai,HYUNDAI MOTOR COMPANY,Sonata HYBRID SE,242,39
Hyundai,HYUNDAI MOTOR COMPANY,Sonata Limited,422,21
Hyundai,HYUNDAI MOTOR COMPANY,Sonata SPORT/LIMITED,364,25
Hyundai,HYUNDAI MOTOR COMPANY,Tucson AWD,400,23
Hyundai,HYUNDAI MOTOR COMPANY,Tucson Eco AWD,361,25
Hyundai,HYUNDAI MOTOR COMPANY,Tucson Eco FWD,345,26
Hyundai,HYUNDAI MOTOR COMPANY,Tucson FWD,372,24
Hyundai,HYUNDAI MOTOR COMPANY,Veloster,338,27
Jaguar Land Rover L,Jaguar,F-Pace,444,22
Jaguar Land Rover L,Jaguar,F-TYPE Convertible,447,20
Jaguar Land Rover L,Jaguar,F-TYPE Convertible Manual,562,16
Jaguar Land Rover L,Jaguar,F-TYPE Coupe,447,20
Jaguar Land Rover L,Jaguar,F-TYPE Coupe Manual,562,16
Jaguar Land Rover L,Jaguar,F-TYPE R AWD Convertible,588,15
Jaguar Land Rover L,Jaguar,F-TYPE R AWD Coupe,588,15
Jaguar Land Rover L,Jaguar,F-TYPE S AWD Convertible,490,18
Jaguar Land Rover L,Jaguar,F-TYPE S AWD Coupe,490,18
Jaguar Land Rover L,Jaguar,F-TYPE S Convertible,468,19
Jaguar Land Rover L,Jaguar,F-TYPE S Convertible Manual,574,15
Jaguar Land Rover L,Jaguar,F-TYPE S Coupe,468,19
Jaguar Land Rover L,Jaguar,F-TYPE S Coupe Manual,574,15
Jaguar Land Rover L,Jaguar,XE,393,25
Jaguar Land Rover L,Jaguar,XE AWD,391,25
Jaguar Land Rover L,Jaguar,XF,384,26
Jaguar Land Rover L,Jaguar,XF AWD,394,25
Jaguar Land Rover L,Jaguar,XJ,542,17
Jaguar Land Rover L,Jaguar,XJ AWD,529,17
