Virgin Islands (U.S.),VIR,-1,-1,-1,-1,-1,-1,-1,-1,-1,7
Vietnam,VNM,21407.946,53644.543,104872.533,117993.059,134916.264,147340.06,161887.049,158231.05,152624.207,2
Vanuatu,VUT,66.006,84.341,99.009,95.342,121.011,121.011,132.012,113.677,106.343,3
West Bank and Gaza,WBG,-1,792.072,2324.878,2053.52,2090.19,2035.185,2247.871,2200.2,2438.555,4
Samoa,WSM,124.678,139.346,187.017,190.684,198.018,205.352,234.688,253.023,238.355,3
"Yemen, Rep.",YEM,9596.539,14638.664,20971.573,22339.364,24561.566,23432.13,19666.121,18290.996,25346.304,4
South Africa,ZAF,319795.403,378665.421,467436.157,497593.565,503262.747,474099.096,475037.848,472071.245,471238.836,5
"Congo, Dem. Rep.",ZAR,4070.37,814.074,1730.824,1829.833,1719.823,1991.181,2467.891,2559.566,2779.586,5
Zambia,ZMB,2445.889,1822.499,1778.495,2181.865,2526.563,2709.913,2933.6,3479.983,3824.681,5
Zimbabwe,ZWE,15504.076,13923.599,9886.232,7770.373,8335.091,9266.509,11628.057,12933.509,13780.586,5
